,title,Author,Genre,Like,Url
594,The Hidden Saintess,WS / Yamageddon,Romance,338171.0,https://www.webtoons.com/en/romance/the-hidden-saintess/list?title_no=4114
595,I Swear I Really Like You,Gaechaban / jamgoemul,Romance,185413.0,https://www.webtoons.com/en/romance/i-swear-i-really-like-you/list?title_no=5269
596,A Useless Villain,Yeoul / ODI,Action,1200000.0,https://www.webtoons.com/en/action/a-useless-villain/list?title_no=2969
597,A Good Day to be a Dog,Lee Hey,Romance,11000000.0,https://www.webtoons.com/en/romance/a-good-day-tobe-a-dog/list?title_no=1390
598,Surviving Romance,Lee Yone,Horror,5500000.0,https://www.webtoons.com/en/horror/survive-romance/list?title_no=2607
599,The First Night With the Duke,MSG / Teava,Fantasy,12100000.0,https://www.webtoons.com/en/fantasy/the-first-night-with-the-duke/list?title_no=1267
600,Freaking Romance,Snailords,Romance,21300000.0,https://www.webtoons.com/en/romance/freaking-romance/list?title_no=1467
601,Rewriting the Villainess,HONGHYE,Fantasy,1800000.0,https://www.webtoons.com/en/fantasy/rewriting-the-villainess/list?title_no=4093
602,Sixth Sense Kiss,Got W / Jocobong,Romance,6300000.0,https://www.webtoons.com/en/romance/sixth-sense-kiss/list?title_no=2921
603,Snowbound,Kisai Entertainment / WmW,Romance,311322.0,https://www.webtoons.com/en/romance/snowbound/list?title_no=5967
604,The Makeup Remover,Lee Yone,Romance,13600000.0,https://www.webtoons.com/en/romance/the-makeup-remover/list?title_no=2186
605,The Horizon,JH,Drama,430477.0,https://www.webtoons.com/en/drama/the-horizon/list?title_no=3141
606,How to Survive a Romance Fantasy,sing-nanda,Fantasy,1600000.0,https://www.webtoons.com/en/fantasy/how-to-survive-a-romance-fantasy/list?title_no=2855
607,So I Married the Anti-Fan,Jaerim / Eunjeong Kim,Romance,3500000.0,https://www.webtoons.com/en/romance/so-i-married-the-antifan/list?title_no=2739
608,My Deepest Secret,Hanza Art,Thriller,15800000.0,https://www.webtoons.com/en/thriller/my-deepest-secret/list?title_no=1580
609,The Remarriage Contract,Seolwoohee / JEJE,Drama,923537.0,https://www.webtoons.com/en/drama/the-remarriage-contract/list?title_no=5136
610,Romantic Flow,seodan / Y.N,Romance,396159.0,https://www.webtoons.com/en/romance/romantic-flow/list?title_no=5176
611,Lifesaving Romance,HAPPYBOOKSTOYOU / SJ,Drama,407504.0,https://www.webtoons.com/en/drama/lifesaving-romance/list?title_no=5098
612,The God of High School,Yongje Park,Action,31200000.0,https://www.webtoons.com/en/action/the-god-of-high-school/list?title_no=66
613,Another Love ,I SOON KI / DDOGAK,Romance,1400000.0,https://www.webtoons.com/en/romance/another-love/list?title_no=3964
614,Seasons of Blossom,HONGDUCK / NEMONE,Romance,8800000.0,https://www.webtoons.com/en/romance/seasonsofblossom/list?title_no=2509
615,Once a Hero,Yankifull,Fantasy,665282.0,https://www.webtoons.com/en/fantasy/once-a-hero/list?title_no=3211
616,Our Secret Alliance,Cakenyam,Romance,1900000.0,https://www.webtoons.com/en/romance/our-secret-alliance/list?title_no=4178
617,A Summer Night's Dream,Kim su bak / Kan,Romance,1700000.0,https://www.webtoons.com/en/romance/a-summer-nights-dream/list?title_no=2956
618,Brass & Sass,antlerella,Romance,8600000.0,https://www.webtoons.com/en/romance/brass-and-sass/list?title_no=1652
619,Phone Addict,HD / 8,Romance,1100000.0,https://www.webtoons.com/en/romance/phone-addict/list?title_no=4187
620,Red Hood: Outlaws,Nico Bascuñan / Patrick R. Young,Action,735876.0,https://www.webtoons.com/en/action/red-hood-outlaws/list?title_no=4603
621,The Matchmaking Baby Princess,Jimmy Sin / Karin Park,Fantasy,2300000.0,https://www.webtoons.com/en/fantasy/the-matchmaking-baby-princess/list?title_no=3066
622,Nice To Meet You,Wishroomness,Romance,9500000.0,https://www.webtoons.com/en/romance/nice-to-meet-you/list?title_no=2066
623,See You in My 19th Life,Lee Hey,Romance,12300000.0,https://www.webtoons.com/en/romance/see-you-in-my-19th-life/list?title_no=1266
624,Rumor Has It,sungA,Romance,1000000.0,https://www.webtoons.com/en/romance/rumor-has-it/list?title_no=2967
625,Hooky,Míriam Bonastre Tur,Fantasy,10300000.0,https://www.webtoons.com/en/fantasy/hooky/list?title_no=425
